fixture_id,match_importance
1208021,low
1208022,very_high
1208023,very_high
1208025,high
1208026,high
1208024,low
1208027,medium
1208028,low
1208029,high
1208030,high
1208033,low
1208037,high
1208034,medium
1208035,high
1208038,high
1208039,medium
1208032,very_high
1208031,high
1208040,high
1208036,very_high
1208041,very_high
1208044,low
1208046,high
1208042,high
1208045,high
1208049,high
1208050,high
1208048,high
1208043,high
1208047,very_high
1208058,high
1208055,medium
1208056,very_high
1208057,high
1208053,high
1208054,high
1208052,low
1208051,high
1208059,very_high
1208060,high
1208070,high
1208064,high
1208066,very_high
1208068,high
1208065,high
1208069,medium
1208061,medium
1208063,low
1208062,high
1208067,very_high
1208078,high
1208074,high
1208072,very_high
1208073,medium
1208079,high
1208075,low
1208080,very_high
1208076,high
1208077,medium
1208071,high
1208086,very_high
1208081,very_high
1208088,high
1208090,high
1208089,high
1208083,medium
1208087,high
1208085,high
1208082,low
1208084,medium
1208099,medium
1208095,low
1208093,high
1208096,high
1208098,high
1208092,low
1208091,very_high
1208100,high
1208094,very_high
1208097,high
1208110,high
1208111,high
1208106,medium
1208105,high
1208104,low
1208109,low
1208112,medium
1208107,high
1208108,medium
1208103,very_high
1208118,very_high
1208113,high
1208116,very_high
1208120,high
1208115,high
1208119,high
1208122,medium
1208121,medium
1208117,high
1208114,low
1208131,medium
1208132,high
1208123,low
1208126,low
1208124,high
1208127,very_high
1208128,high
1208130,high
1208129,high
1208125,very_high
1208139,high
1208137,medium
1208133,low
1208134,very_high
1208135,low
1208136,low
1208140,high
1208142,very_high
1208138,high
1208141,high
1208144,high
1208152,medium
1208146,high
1208143,high
1208149,high
1208151,very_high
1208148,low
1208150,medium
1208145,high
1208147,very_high
1208158,high
1208159,high
1208161,very_high
1208162,high
1208156,medium
1208160,high
1208154,very_high
1208155,low
1208157,low
1208153,medium
1208165,high
1208164,high
1208163,high
1208170,high
1208167,very_high
1208169,high
1208168,high
1208171,high
1208172,medium
1208179,high
1208182,high
1208174,very_high
1208177,very_high
1208180,high
1208175,low
1208178,high
1208181,high
1208176,high
1208173,medium
1208183,high
1208184,high
1208192,medium
1208188,high
1208185,very_high
1208190,low
1208187,high
1208186,high
1208189,high
1208191,very_high
1208198,high
1208196,high
1208201,high
1208200,high
1208199,high
1208193,low
1208202,medium
1208197,very_high
1208195,low
1208194,very_high
1208209,high
1208207,low
1208206,high
1208211,medium
1208205,high
1208212,very_high
1208208,high
1208203,low
1208210,high
1208204,very_high
1208221,high
1208213,low
1208220,high
1208219,high
1208216,high
1208214,high
1208215,very_high
1208217,high
1208218,very_high
1208222,high
1208230,high
1208224,high
1208229,medium
1208228,very_high
1208231,high
1208225,low
1208227,high
1208223,very_high
1208226,high
1208232,high
1208240,high
1208234,very_high
1208238,high
1208242,medium
1208233,very_high
1208241,high
1208236,medium
1208239,low
1208237,high
1208235,high
1208243,high
1208252,very_high
1208248,very_high
1208250,high
1208245,low
1208249,high
1208246,low
1208251,high
1208244,medium
1208247,low
1208261,high
1208260,high
1208253,very_high
1208257,high
1208258,high
1208262,medium
1208259,low
1208255,medium
1208254,very_high
1208256,high
1208166,very_high
1208264,high
1208267,very_high
1208266,high
1208270,high
1208272,medium
1208269,high
1208263,high
1208265,low
1208268,very_high
1208271,medium
1208305,very_high
1208279,high
1208276,low
1208273,medium
1208277,low
1208282,high
1208274,very_high
1208278,high
1208275,high
1208281,high
1208280,very_high
1208289,low
1208284,low
1208288,medium
1208290,high
1208292,high
1208286,high
1208283,low
1208285,very_high
1208291,very_high
1208287,high
1208299,high
1208297,very_high
1208294,low
1208296,high
1208293,low
1208302,medium
1208295,high
1208300,medium
1208298,very_high
1208301,high
1208312,high
1208306,medium
1208310,high
1208308,high
1208303,low
1208304,very_high
1208307,medium
1208309,high
1208314,very_high
1208317,medium
1208316,high
1208320,high
1208313,high
1208321,high
1208319,high
1208315,low
1208322,very_high
1208318,high
1208326,very_high
1208328,high
1208325,low
1208332,medium
1208323,high
1208327,very_high
1208331,high
1208324,high
1208330,high
1208329,high
1208338,high
1208340,high
1208335,high
1208341,high
1208334,very_high
1208342,medium
1208337,very_high
1208336,high
1208339,high
1208333,low
1208311,high
1208346,high
1208352,high
1208345,low
1208344,low
1208343,high
1208348,very_high
1208347,high
1208350,medium
1208349,very_high
1208351,high
